カード名,カード画像ファイル名,英語版カード画像ファイル名,ファイル名(空白ならカード名と同じ),ユニット名,ユニット名(英語),登場コスト,CCあるか,CCコスト,色①,色②,戦闘力,支援力,射程①,射程②,射程③,性別,武器1,武器2,武器3,効果のクラス名,効果名1,効果名2,効果名3,効果名4,支援スキル名1,支援スキル名2,コードが出来てるか(作者記入),カードID,デッキに入れられる上限枚数(4),パックID,備考
救国の英雄 マルス,B01-001SRplus_SAMPLE,Marth_B01-001SR+ by I deserve this,,マルス,Marth,5,〇,4,赤,,70,20,1,,,男,剣,,,Mars_RescueCountryHero,英雄の凱歌,ファルシオン,,,,,〇,0,,1,
亡国の王子 マルス,B01-002N_SAMPLE,Marth_B01-002N by I deserve this,,マルス,Marth,2,×,,赤,,50,20,1,,,男,剣,,,Mars_PrinceOfDeadCountry,英雄の資質,,,,,,〇,1,,1,
アリティアの王子 マルス,B01-003STplus_SAMPLE,Marth_B01-003HN by I deserve this,,マルス,Marth,1,,,赤,,40,20,1,,,男,剣,,,Mars_PrinceOfArithia,若き英雄,,,,英雄の紋章,,〇,2,,1,
愛を説く翼 シーダ,B01-004SRplus_SAMPLE,Caeda_B01-004SR+ by I deserve this,,シーダ,Caeda,4,〇,3,赤,,60,30,1,,,女,槍,羽,馬,Sheeda_TellLoveWing,説得,天空を翔ける者,,,,,〇,3,,1,
心癒す翼 シーダ,B01-005N_SAMPLE,Caeda_B01-005N by I deserve this,,シーダ,Caeda,2,,,赤,,40,30,1,,,女,槍,羽,馬,Sheeda_CureHeartWing,ウイングスピア,天空の運び手,,,,,〇,4,,1,
タリスの王女 シーダ,B01-006ST_SAMPLE,Caeda_B01-006HN by I deserve this,,シーダ,Caeda,1,,,赤,,30,30,1,,,女,槍,羽,馬,Sheeda_QueenOfTaris,王女のカリスマ,,,,天空の紋章,,〇,5,,1,
猛牛と呼ばれし騎士 カイン,B01-007ST_SAMPLE,Cain_B01-007R by I deserve this,,カイン,Cain,3,〇,2,赤,,60,10,1,,,男,剣,馬,,Kain_CalledOx,聖騎士の加護,赤緑の双撃,,,,,〇,6,,1,
赤の騎士 カイン,B01-008ST_SAMPLE,Cain_B01-008N by I deserve this,,カイン,Cain,1,,,赤,,40,10,1,,,男,剣,馬,,Kain_RedKnight,赤と緑の絆,,,,攻撃の紋章,,〇,7,,1,
黒豹と呼ばれし騎士 アベル,B01-009ST_SAMPLE,Abel_B01-009R by I deserve this,,アベル,Abel,3,〇,2,赤,,60,10,1,,,男,槍,馬,,Abel_CalledPunther,聖騎士の加護,緑赤の双撃,,,,,〇,8,,1,
緑の騎士 アベル,B01-010ST_SAMPLE,Abel_B01-010N by I deserve this,,アベル,Abel,1,,,赤,,40,10,1,,,男,槍,馬,,Abel_GreenKnight,緑と赤の絆,,,,攻撃の紋章,,〇,9,,1,
護りの騎士 ドーガ,B01-012ST_SAMPLE,Draug_B01-012N by I deserve this,,ドーガ,Draug,1,,,赤,,30,10,1,,,男,槍,鎧,,Doga_DefendingKnight,重装の心得,,,,防御の紋章,,〇,10,,1,
同盟軍の弓騎士 ゴードン,B01-013ST_SAMPLE,Gordin_B01-013HN by I deserve this,,ゴードン,Gordin,3,〇,2,赤,,50,20,2,,,男,弓,,,Godon_ArcherKnight,牽制射撃,飛行特効,,,,,〇,11,,1,
解放軍の弓兵 ゴードン,B01-014ST_SAMPLE,Gordin_B01-014N by I deserve this,,ゴードン,Gordin,1,,,赤,,30,20,2,,,男,弓,,,Godon_ReleaseArcherKnight,鋼の弓,飛行特効,,,攻撃の紋章,,〇,12,,1,
