カード名(Card Name),カード画像ファイル名(Japanese Image Name),英語版カード画像ファイル名(English Image Name),"ファイル名(empty(B,S),""PR""(P))",ユニット名(Unit Name),ユニット名(英語)(Unit Name in English),登場コスト(Play Cost),CCあるか(if it has CC),CCコスト(CC Cost),色①(Color 1),色②(Color 2),戦闘力(Power),支援力(Support Powr),射程①(Range①),射程②(Range②),射程③(Range③),性別(Gender),武器1(Weapon①),武器2(Weapon②),武器3(Weapon③),効果のクラス名(You don't have to care about here),効果名1(Skill Name①),効果名2(Skill Name②),効果名3(Skill Name③),効果名4(Skill Name④),支援スキル名1(Support Skill Name①),支援スキル名2(Support Skill Name①),コードが出来てるか(作者記入),カードID(increase the number by one),デッキに入れられる上限枚数(4)(max count same name in one deck),パックID,備考(empty)
神剣の勇将 アイク,B03-001SRplus_SAMPLE,Ike_B03-001SR+ by I deserve this,,アイク,Ike,5,〇,4,緑,,70,20,1,,,男,剣,,,Ike_BraveLeaderOfGodSword,神剣ラグネル,救国の勇将,受け継がれた剣技,,,,〇,244,,3,
クリミアの騎士 アイク,B03-002N_SAMPLE,Ike_B03-002N by I deserve this,,アイク,Ike,3,〇,2,緑,,60,20,1,,,男,剣,,,Ike_ClimiaKnight,将軍の参陣,,,,,,〇,245,,3,
傭兵団の青年 アイク,B03-003HN_SAMPLE,Ike_B03-003HN by I deserve this,,アイク,Ike,1,,,緑,,40,20,1,,,男,剣,,,Ike_MercenaryTeamMun,若きリーダー,,,,英雄の紋章,,〇,246,,3,
再興を祈る翼 エリンシア,B03-004SR_SAMPLE,Elincia_B03-004SR by I deserve this,,エリンシア,Elincia,4,〇,3,緑,,60,30,1,,,女,剣,羽,馬,Elincia_PrayReBuild,ぶっとばして差し上げましょう!,クリミアの翼,,,,,〇,247,,3,
遺された姫 エリンシア,B03-005N_SAMPLE,Elincia_B03-005N by I deserve this,,エリンシア,Elincia,1,,,緑,,30,20,,,,女,杖,,,Elincia_LeftPrincess,姫の激励,,,,祈りの紋章,,〇,248,,3,
聖心の戦乙女 ミスト,B03-006SR_SAMPLE,Mist_B03-006SR by I deserve this,,ミスト,Mist,4,〇,3,緑,,60,20,1,,,女,剣,馬,,Misto_HollyBattleGirl,ソニックソード,癒しの風,,,,,〇,249,,3,
世話好きな妹 ミスト,B03-007N_SAMPLE,Mist_B03-007N by I deserve this,,ミスト,Mist,1,,,緑,,30,20,,,,女,杖,,,Misto_KindSister,ライブ,,,,祈りの紋章,,〇,250,,3,
傭兵団の副長 ティアマト,B03-008HN_SAMPLE,Titania_B03-008HN by I deserve this,,ティアマト,Titania,3,〇,2,緑,,60,10,1,,,女,斧,馬,,Thiamto_MercenarySubLeader,後進の育成,副長の務め,,,,,〇,251,,3,
赤髪の斧騎士 ティアマト,B03-009N_SAMPLE,Titania_B03-009N by I deserve this,,ティアマト,Titania,1,,,緑,,40,10,1,,,女,斧,馬,,Thiamato_RedHairAxeKnight,つながる想い,,,,攻撃の紋章,,〇,252,,3,
勇将の軍師 セネリオ,B03-010SR_SAMPLE,Soren_B03-010SR by Monnal,,セネリオ,Soren,4,〇,3,緑,,60,20,1,2,,男,魔導書,,,Senerio_BraveLeaderGunshi,寡兵での戦い,闇衣の参謀,,,,,〇,253,,3,
